chunks,questions,answers
"Кафедра ФН-11 осуществляет подготовку бакалавров и магистров по направлению ""Математика и компьютерные науки (02.03.01; 02.04.01), реализуя образовательные профили подготовки:
- Математическое и компьютерное моделирование,
- Математическое и компьютерное моделирование в экономике,
- Суперкомпьютерное моделирование и искусственный интеллект в инженерных задачах,
- Математическое и компьютерное моделирование в механике композитов.","Какие образовательные профили подготовки реализует кафедра ФН-11 в рамках направления ""Математика и компьютерные науки""?","Кафедра ФН-11 реализует следующие образовательные профили подготовки:
Математическое и компьютерное моделирование,
Математическое и компьютерное моделирование в экономике,
Суперкомпьютерное моделирование и искусственный интеллект в инженерных задачах,
Математическое и компьютерное моделирование в механике композитов."
"В 1878г. заведующим кафедрой общей и прикладной физики стал выпускник Московского университета ученик выдающегося русского физика А.Г.Столетова профессор П.А.Зилов. Профессор П.А.Зилов был первым, кто измерил диэлектрические проницаемости некоторых жидких диэлектриков и доказал правильность соотношения между диэлектрической проницаемостью и показателем преломления (1877г.). В 1879г. П.А.Зилов установил зависимость магнитной проницаемости жидкостей от напряженности магнитного поля.  С декабря 1884г. по август 1886г. кафедрой заведовал профессор Н.П.Слугинов, доктор физики С.-Петербургского университета. В 1881г. получил степень магистра физики за диссертацию “Теория электролиза”, в которой он сделал замечательное техническое открытие - способ покрытия алюминия тонким непрерывным слоем кристаллизированного глинозёма, имеющего твёрдость корунда. В 1884г. Н.П.Слугинов защитил докторскую диссертацию на тему “Электрическое свечение” и в том же году перешёл на кафедру физики ИМТУ.",Какие научные достижения были у профессора П.А. Зилова и Н.П. Слугинова?,Профессор П.А. Зилов:  В 1877 году измерил диэлектрические проницаемости некоторых жидких диэлектриков и доказал правильность соотношения между диэлектрической проницаемостью и показателем преломления. В 1879 году установил зависимость магнитной проницаемости жидкостей от напряжённости магнитного поля. Профессор Н.П. Слугинов:  В 1881 году сделал открытие способа покрытия алюминия тонким слоем кристаллизированного глинозёма с твёрдостью корунда. В 1884 году защитил докторскую диссертацию на тему “Электрическое свечение”.
"Главный учебный корпус (ГУК) МГТУ состоит из двух частей.  Старейшая (также называемая дворцовой) — представляла собой Слободской дворец XVIII—XIX веков. Эта часть обращена фасадом на 2-ю Бауманскую улицу.  Вторая более поздняя (так называемая «циркульная» или «высотная») часть ГУК, имеющая 12 этажей и построенная уже в советские времена, обращена фасадом на набережную Яузы. Её строительство началось с левого крыла, которое носит название «северное». Позже было закончено правое, «южное» крыло. Аудитории, расположенные в этом крыле, нумеруются с суффиксом «ю». ",Из каких частей состоит главный учебный корпус (ГУК) МГТУ и как они расположены?,"Главный учебный корпус МГТУ состоит из двух частей:  Дворцовая часть — старейшая, представляющая собой Слободской дворец XVIII–XIX веков. Её фасад обращён на 2-ю Бауманскую улицу. Циркульная (высотная) часть — построена в советское время, имеет 12 этажей. Её фасад выходит на набережную Яузы. Строительство началось с «северного» крыла, затем завершили «южное» крыло, аудитории которого нумеруются с суффиксом «ю»."
"Сообщение между подразделениями университета осуществляется в основном по 2, 3 и 4 этажам. В южном крыле некоторые проходы перекрыты подразделениями факультета военного обучения. Проходы циркульной части по 1 этажу заняты административными службами и лабораториями. Проходы по 5 этажу имеют выходы в чердачные помещения, где размещаются некоторые технические службы университета и стрелковый тир с линиями на 25 м (для пистолетной стрельбы) и на 50 м (для винтовочной). Также в здании ГУК расположен музей МГТУ.  В ГУК действует общее правило нумерации аудиторий. Номер аудитории ГУК состоит из номера этажа (первая цифра) и порядкового номера аудитории. Порядковые номера аудиториям присваиваются в шахматном порядке. Чётные номера располагаются справа при движении по циркульной части в направлении от центральной лестницы высотного здания ГУК. ",Как устроено сообщение между подразделениями и нумерация аудиторий в ГУК МГТУ?,"Сообщение между подразделениями университета осуществляется преимущественно по 2, 3 и 4 этажам. Однако:  В южном крыле некоторые проходы закрыты подразделениями факультета военного обучения. Проходы по 1 этажу циркульной части заняты административными службами и лабораториями. Проходы по 5 этажу ведут в чердачные помещения, где расположены технические службы и стрелковый тир с линиями на 25 м (пистолетная стрельба) и 50 м (винтовочная стрельба). Нумерация аудиторий:  Номер аудитории состоит из номера этажа (первая цифра) и порядкового номера. Порядковые номера присваиваются в шахматном порядке: Чётные номера находятся справа при движении по циркульной части от центральной лестницы высотного здания. Также в здании ГУК находится музей МГТУ."
"Учебно-лабораторный корпус был открыт 1 марта 2004 года и. о. министра образования РФ Владимиром Филипповым, мэром Москвы Юрием Лужковым, ректором МГТУ Игорем Фёдоровым. Ножницы для перерезания ленточки подал робот.  УЛК строили на протяжении трёх десятилетий. Строительство корпуса было начато в 1972 году, однако в 1984 году работы из-за проблем с финансированием были приостановлены. После вмешательства в 2001 году правительства Москвы строительство нового здания возобновилось.  Владимир Филиппов назвал открытие корпуса «самым масштабным проектом за последние 20 лет»[57], по его мнению, открытие нового корпуса «символизирует возрождение страны, возрождение Москвы». В свою очередь, мэр Москвы, заявил, что новый корпус нам позволил построить «его величество рынок». ","Когда был открыт учебно-лабораторный корпус (УЛК) МГТУ, и как проходило его строительство?","Учебно-лабораторный корпус (УЛК) был открыт 1 марта 2004 года. В церемонии открытия приняли участие и. о. министра образования РФ Владимир Филиппов, мэр Москвы Юрий Лужков и ректор МГТУ Игорь Фёдоров. Символично, что ножницы для перерезания ленточки подал робот.  Строительство корпуса длилось три десятилетия:  Началось в 1972 году. В 1984 году работы были приостановлены из-за проблем с финансированием. В 2001 году правительство Москвы вмешалось, и строительство было возобновлено. Владимир Филиппов назвал открытие корпуса «самым масштабным проектом за последние 20 лет», отметив его значение как символ возрождения страны и Москвы. Юрий Лужков добавил, что строительство стало возможным благодаря «его величеству рынку»."
"- более  7200человекуже прошли обучение в этом образовательном центре;- 600сотрудников VKподелились знаниями как преподаватели VK Образования;- 70%каждого курса — практика,теория занимает всего 30% обучения;- 50 преподавателей - сотрудников компании ведут занятия для студентов центра;- 360 студентов в год мы выпускаем с основных программ обучения;- конкурс 7-9 человек на место на основных программахНаша программа это:- 2, 3 или 4 семестра обучения по следующим направлениям подготовки:- Программа по веб-разработке (4 семестра)- Программа по машинному обучению ( 3 семестра, запускается только весной) ;- Мобильный разработчик на IOS ( 2 семестра);- Мобильный разоаботчик на ANDROID (2 семестра)- 50 преподавателей - сотрудников компании;- 360 студентов в год;- конкурс 7-9 человек на место на основных программах","Сколько длится обучение по программе машинного обучения и какой конкурс на место?

","
Обучение по программе машинного обучения длится 3 семестра, конкурс на основных программах — 7–9 человек на место."
"Образовательный центр VK в МГТУ им. Н. Э. Баумана — это бесплатное дополнительное практико-ориентированное обучение.С 2011 года образовательный центр VK предлагает студентам МГТУ краткосрочные курсы и долгосрочные программы на бесплатной основе. Обучающие материалы разработаны сотрудниками вуза и ведущими экспертами-практиками индустрии и призваны на практике познакомить студентов ведущего технического вуза с миром IT. Мы помогаем осваивать современные профессии и приобретать полезные для будущей работы навыки, даем советы по интеграции в профессиональное комьюнити, а лучшим выпускникам даем шанс присоединиться к команде VK.Набор ведется по трём основным направлениям обучения: - программа по веб-разработчике, - программа по ML-разработке ; - мобильная разработка на IOS ;  - мобильная разработка на Android. Компания предлагает так же для студентов МГТУ  всероссийские, московские и межвузовские семестровые курсы различных форматов.","Какие образовательные программы предлагает VK для студентов МГТУ им. Баумана?

","
Образовательный центр VK в МГТУ им. Н. Э. Баумана предлагает студентам краткосрочные и долгосрочные программы, а также семестровые курсы различных форматов по следующим направлениям:
* веб-разработка;
* ML-разработка;
* мобильная разработка на IOS;
* мобильная разработка на Android."
"Высококлассных Web-, ML- и мобильных разработчиков с опытом командной и индивидуальной работы с высоконагруженными системами в реальных проектах. Выпускники Центра успешно работают в компании VK после окончания обучения. Многие из них занимают высокие позиции в компании.","Каковы шансы трудоустройства выпускников Центра в компанию VK после окончания обучения на должность высококлассного Web-, ML- или мобильного разработчика с опытом работы с высоконагруженными системами?

","

Высокие. Многие выпускники Центра занимают высокие позиции в компании VK."
"Возможность пройти стажировку в VK или принять участие в создании IT-проектов под руководством кураторов- экспертов из VK. Во время обучения проводится множество мероприятий для студентов проекта — внутренние мероприятия ОЦ, мастер-классы, хакатоны, воркшопы. Также мы устраиваем экскурсии для студентов Университета в офис VK, поддерживаем и участвуем во многих мероприятиях Профкома и Студсовета МГТУ.","Какие возможности предоставляет проект для студентов?

","
Участие в стажировке в VK или создание IT-проектов под руководством кураторов-экспертов из VK. Кроме того, проводятся внутренние мероприятия ОЦ, мастер-классы, хакатоны, воркшопы. Также организуются экскурсии для студентов Университета в офис VK, оказывается поддержка и участие во многих мероприятиях Профкома и Студсовета МГТУ."
"На все треки основной программы обучения могут подать заявку студенты дневной формы обучения 2-6 курсов бакалавриата и специалитета, магистранты и аспиранты всех факультетов и филиалов  МГТУ им. Н.Э. Баумана.","Могут ли подать заявку на треки основной программы обучения студенты очно-заочной формы?

","
Нет, только студенты дневной формы обучения 2–6 курсов бакалавриата и специалитета, магистранты и аспиранты всех факультетов и филиалов МГТУ им. Н.Э. Баумана."
